category,manufacturer,modelname,serialnumber,ondate,inventory,operatorcode,project,ownercode,propertytag,epochnotes,isinstalled,netcode,lookupcode,monname,installdate
BATTERY,UNKNOWN,UNKNOWN,E62A3-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A4-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A5-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A6-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A7-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A8-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A9-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,K22A1-2021-06,2021-06-14 (165) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,K22A,"Casper, WY, USA",2021-06-14 (165) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,K22A2-2021-06,2021-06-14 (165) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,K22A,"Casper, WY, USA",2021-06-14 (165) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,K22A3-2021-06,2021-06-14 (165) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,K22A,"Casper, WY, USA",2021-06-14 (165) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,MSTX1-2021-06,2021-06-23 (174) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,MSTX,"Muleshoe, TX, USA",2021-06-23 (174) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,MSTX2-2021-06,2021-06-23 (174) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,MSTX,"Muleshoe, TX, USA",2021-06-23 (174) 16:00:00
