category,manufacturer,modelname,serialnumber,ondate,inventory,operatorcode,project,ownercode,propertytag,epochnotes,isinstalled,netcode,lookupcode,monname,installdate
BATTERY,UNKNOWN,UNKNOWN,146B2-2019-09,2019-09-24 (267) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,146B,"Union, MS, USA",2019-09-24 (267) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,J55A1-2019-09,2019-09-26 (269) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,J55A,"Hilton, NY, USA",2019-09-26 (269) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,J55A2-2019-09,2019-09-26 (269) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,J55A,"Hilton, NY, USA",2019-09-26 (269) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,D62A1-2019-10,2019-10-01 (274) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,D62A,"Allapoint, Allagash, ME, USA",2019-10-01 (274) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,D62A2-2019-10,2019-10-01 (274) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,D62A,"Allapoint, Allagash, ME, USA",2019-10-01 (274) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,D62A3-2019-10,2019-10-01 (274) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,D62A,"Allapoint, Allagash, ME, USA",2019-10-01 (274) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,D62A4-2019-10,2019-10-01 (274) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,D62A,"Allapoint, Allagash, ME, USA",2019-10-01 (274) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,D62A5-2019-10,2019-10-01 (274) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,D62A,"Allapoint, Allagash, ME, USA",2019-10-01 (274) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,D62A6-2019-10,2019-10-01 (274) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,D62A,"Allapoint, Allagash, ME, USA",2019-10-01 (274) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,P43A1-2019-12,2019-12-15 (349) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,P43A,"Skaggs, Pawnee, IL, USA",2019-12-15 (349) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,P43A2-2019-12,2019-12-15 (349) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,P43A,"Skaggs, Pawnee, IL, USA",2019-12-15 (349) 00:00:00
BATTERY,UNKNOWN,UNKNOWN,S39B1-2019-12,2019-12-16 (350) 00:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,S39B,"Bolivar, MO, USA",2019-12-16 (350) 00:00:00
